Date, Open, High, Low, Close
12/31/21, 36385.85, 36484.94, 36303.97, 36338.30
12/30/21, 36522.48, 36679.44, 36372.13, 36398.08
12/29/21, 36421.14, 36571.55, 36396.19, 36488.63
12/28/21, 36302.99, 36527.26, 36302.99, 36398.21
12/27/21, 35954.48, 36306.61, 35954.48, 36302.38
12/23/21, 35782.42, 36060.99, 35782.42, 35950.56
12/22/21, 35491.71, 35764.67, 35433.13, 35753.89
12/21/21, 35069.50, 35508.96, 35069.50, 35492.70
12/20/21, 35222.12, 35222.12, 34665.50, 34932.16
12/17/21, 35800.11, 35800.11, 35284.26, 35365.44
12/16/21, 36036.28, 36189.83, 35778.21, 35897.64
12/15/21, 35549.35, 35943.84, 35389.30, 35927.43
12/14/21, 35605.73, 35779.47, 35441.74, 35544.18
12/13/21, 35958.93, 35958.93, 35609.53, 35650.95
12/10/21, 35830.55, 35982.69, 35710.43, 35970.99
12/09/21, 35722.26, 35864.24, 35577.14, 35754.69
12/08/21, 35716.85, 35840.52, 35602.65, 35754.75
12/07/21, 35423.99, 35819.47, 35423.99, 35719.43
12/06/21, 34633.43, 35356.75, 34633.43, 35227.03
12/03/21, 34692.78, 34801.31, 34264.57, 34580.08
12/02/21, 34076.25, 34759.65, 34076.25, 34639.79
12/01/21, 34678.94, 35004.64, 34006.98, 34022.04
11/30/21, 35056.99, 35056.99, 34424.44, 34483.72
11/29/21, 35017.71, 35287.91, 34895.89, 35135.94
11/26/21, 35366.69, 35366.69, 34749.80, 34899.34
11/24/21, 35752.31, 35825.47, 35591.03, 35804.38
11/23/21, 35619.92, 35841.52, 35542.87, 35813.80
11/22/21, 35631.41, 35929.66, 35615.55, 35619.25
11/19/21, 35879.09, 35879.09, 35555.37, 35601.98
11/18/21, 35901.69, 35952.63, 35654.39, 35870.95
11/17/21, 36159.70, 36159.70, 35909.48, 35931.05
11/16/21, 36076.18, 36316.61, 36076.18, 36142.22
11/15/21, 36128.83, 36236.07, 36031.78, 36087.45
11/12/21, 35963.78, 36147.63, 35934.59, 36100.31
11/11/21, 36038.78, 36108.17, 35915.27, 35921.23
11/10/21, 36299.25, 36346.61, 36009.50, 36079.94
11/09/21, 36404.53, 36416.98, 36173.07, 36319.98
11/08/21, 36416.46, 36565.73, 36334.42, 36432.22
11/05/21, 36268.75, 36484.75, 36190.20, 36327.95
11/04/21, 36107.46, 36168.03, 35986.48, 36124.23
11/03/21, 36059.09, 36178.51, 35891.73, 36157.58
11/02/21, 35935.11, 36088.81, 35884.13, 36052.63
11/01/21, 35833.65, 36009.74, 35797.97, 35913.84
10/29/21, 35712.28, 35852.53, 35633.20, 35819.56
10/28/21, 35545.41, 35742.25, 35545.41, 35730.48
10/27/21, 35835.43, 35835.43, 35490.43, 35490.69
10/26/21, 35791.05, 35892.92, 35734.73, 35756.88
10/25/21, 35692.62, 35787.04, 35629.37, 35741.15
10/22/21, 35607.72, 35765.02, 35533.95, 35677.02
10/21/21, 35520.32, 35612.36, 35442.53, 35603.08
10/20/21, 35475.16, 35669.69, 35465.71, 35609.34
10/19/21, 35325.37, 35462.68, 35290.12, 35457.31
10/18/21, 35221.02, 35327.57, 35035.94, 35258.61
10/15/21, 35023.63, 35320.97, 35023.63, 35294.76
10/14/21, 34443.22, 34923.83, 34443.22, 34912.56
10/13/21, 34372.71, 34449.83, 34115.10, 34377.81
10/12/21, 34507.15, 34611.24, 34318.94, 34378.34
10/11/21, 34723.79, 34951.35, 34486.51, 34496.06
10/08/21, 34757.57, 34842.62, 34661.95, 34746.25
10/07/21, 34509.72, 34975.19, 34509.72, 34754.94
10/06/21, 34198.96, 34432.68, 33854.69, 34416.99
10/05/21, 34035.25, 34490.95, 34035.25, 34314.67
10/04/21, 34312.96, 34410.28, 33821.58, 34002.92
10/01/21, 33930.70, 34490.56, 33785.54, 34326.46
09/30/21, 34467.98, 34557.37, 33833.32, 33843.92
09/29/21, 34360.08, 34580.42, 34305.96, 34390.72
